question,answer
Can  Car  Insurance  Companies  Drop  You?," Yes, if you do not pay your premiums or no longer meet the carriers standards the carrier can either cancel or non-renew your policy typically with as least fourteen days notice. Contact your local agent to discuss the details of the drop notice. They may be able to help you understand the reasons behind your coverage being dropped or non-renewed."
What  Is  Long  Term  Health  Insurance?," I am going to take a stab at this as I am not quite sure what the question is. Health Insurance is not necessarily long term unless you have it for a long time however you may switch between different plans. If you are asking what is Long-Term Care Insurance then I will also answer this: Long-Term Care provides a benefit when you have chronic illness needs. Pays for Nursing Home & Care programs, assisted living situations, in-home support and more."
Is  Homeowners  Insurance  Increasing?," That is a great question! Unfortunately, they probably are. The price for homeowners depends in part upon the cost of building and repairing homes near you, so as construction costs rise, so do premiums. The price can also rise if a number of claims have been filed near you, and if the company is trying to recapture lost profits. Your best bet is to contact a local agent who can help you compare prices, and see if there is one that might be more affordable. You can always gamble and raise your deductible also. Thank you for asking!"
What  Is  A  Retirement  Plan  Fiduciary?," Employee Retirement Income Security Act (ERISA) of 1974 requires employer sponsored plans to accept fiduciary responsibilities for compliance under 404c and the newest regulation for fee disclosure, 408(b)(2). ERISA requires employers to design a written plan, a trust fund to hold the assets, an accounting system for the retirement plan and written notifications and updates to plan participants."
How  To  Withdraw  Cash  Value  From  Life  Insurance  Policy?," First be sure you have a cash value life insurance policy. For example a whole life, universal life, indexed universal life or variable life, but not a term life which has no cash value. Locate in your policy the illustrations page. Depending on the years of accumulation you will see the cash value of the policy. You may borrow against the cash value at a very low interest rate and keep your coverage in force. Or you may cancel your coverage and receive the full cash value amount which is income tax free in most cases. Simply, call the insurance company and ask for the proper form to be sent to you in order to execute the transaction. However, before doing the later, be sure to have alternative coverage in place unless you are fortunate enough not to have a need for life insurance in the future."
What  Is  Retirement  Survivors  And  Disability  Insurance?," Retirement, Survivors, and Disability Insurance is a reference to three of the benefits that Social Security pays to those who have paid into Social Security taxes. The retirement part refers to Social Security income that people get when they retire. the survivors part refers to the Social Security income benefits paid to dependents of a qualified deceased person. And the disability part refers to Social Security Disability benefits disabled persons receive if they are qualified."
What  Is  The  Exclusion  Ratio  In  Annuities?," The exclusion ratio usually refers to taxation of the payments or proceeds. What they do is take what you paid in, divided by what you are paid out. This will come up with a percentage ratio. This ratio will be applied to the funds paid to you and that portion of the funds would be 'excluded' from taxation. Consult with a tax professional to see how this may apply to your individual situation."
What  Does  Disability  Insurance  Mean?, Disability insurance is just that! It covers you should you be unable to perform your job due to an accident or illness. Some companies consider disability to include any occupation while others consider disability to mean that you are unable to perform the duties of your own occupation. When selecting a disability plan make sure you choose own occupation over any occupation.
Can  An  Annuity  Be  Rolled  Into  A  401K?," If youre addressing existing non-qualified annuity and you desire to use in funding an 401(k), the following cautions are advised. Your name may be the same on the annuity as well as the IRA, but it reality, your changing ownership registration. If that happens your annuity, if effect, is being surrendered and that surrender will trigger an ordinary income tax event on the gain in the policy. If youre under age 59 an additional 10% penalty will be assessed as well. And dont forget non-qualified annuity basis is tax free, by inserting it into an IRA. you give up the tax free status of basis because all IRA distributions are an ordinary income tax event. Before moving forward with any changes consult a tax advisor or CPA."
Can  You  Claim  A  Breast  Reduction  On  Medicare?, The answer to your question is going to depend on if it is cosmetic surgery or is it medically necessary. Medicare and all health insurance policies have strict regulations about paying for cosmetic surgery and then what happens if you have complications from the suregery? I would recommend you rule out cosmetic surgery because once the invasion is made it exposes you to all the possiblities of infection or other complications. You can go to WEBSITELINK and type the procedure into the inquiry window and see what medicare says
Will  My  Homeowners  Insurance  Cover  A  Leaky  Roof?," The damage caused as the result of a leaky roof is probably covered. The damage to the roof would be covered if caused by a named peril. If the roof leak is covered it will be covered as a depreciated item by most insurance companies, rather than replacement. It is important to stop the leak as quickly as possible regardless of whether there is coverage or not. The damage to a house by water can be quite severe."
When  Does  Medicare  Cover  Blood  Tests?," Medicare Part B covers most lab tests as long as they are medically necessary. Routine blood work in conjunction with your annual preventive care exam is usually covered at no charge to you. If your lab tests are diagnostic in nature, and considered medically necessary, they should be covered subject to the deductible and coinsurance."
Can  Life  Insurance  Companies  Access  Medical  Records?," Yes, life insurance companies access medical records with your permission. Depending on the size of the policy and company requirements, medical records may or may not be required for your policy. When you apply for life insurance, there is a HIPAA (Health Insurance Portability and Accountability Act), which provides permission for the insurance company to obtain and view your medical records. The medical records, along with a prescription check, MVR records, and exam are used to determine your eligibility for life insurance."
How  Much  Is  Term  Life  Insurance  For  20  Years?," There's many factors that go into the premiums for life insurance to say what a policy costs - it will be different for every person as we each have our own specific needs. The premium for a policy will depend on the insured's age, amount of coverage they want, how long they want the coverage for (in this case, 20 year term insurance), their riskclassification (determined by your medical history), and whether they'reapplying with full underwriting or non-medical term coverage. The risk classification is the MOST critical factor in determining the cost (premium) of a life insurance policy. The risk class depends ona number of factors including whether you're male or female, your medical history, height/weight profile, any tobacco usage, and other factors. Please keep in mind - every carrier has their own set of underwriting guidelines and mortality tables, and each may offer a different risk class for a given medical profile - e.g. company A may offer preferred (featuring lower rates) and company B may only offer standard (featuring higher rates). Non-medical term life insurance policies will almost always cost much more than fully underwritten policies that require an exam because an insurance company is taking on more risk without having a full medical picture of you. Consult with an experienced life insurance broker to determine what coverage is appropriate/suitable for your needs and budget. Please feel free to contact me for help or if you have any other questions. Thanks very much."
What  Is  The  Term  Of  Life  Insurance?," If you actually buy Term Life Insurance, you get to pick the term, be it one year, five years, ten years, or even twenty years. But you need to pay the premium every year, or it will end. 97% of folks do not continue to pay and it ends for them. They then have to get another policy, only to find it costs more because they are older, or is not even available because of their health. A man in his 30's put off buying until last week, only to find he had developed MS and had to pay a much higher premium. He was lucky to be able to get insurance at all. Do not put off buying insurance. Something is always better than nothing. Getting Permanent Whole Life Insurance is the safest. The rates never go up and you can keep it your entire life, so long as the premiums are paid. A quality agent can help you determine what you can afford, and how to arrange a variety of possible alternative options. Gary Lane, Agent for New York Life, 949 797 2424. Thank you."
What  Is  An  Annual  Premium  For  Home  Insurance?," Great question. If you are asking what is...the cost...for a homeowner's policy, this may help you. Home policies are rated based on age of home, type of construction, occupancy and location. In my state, Florida, the distance to water is very important as well as the type of roof. There are two styles, gabled roofs (which are popular in the Northern States) and hip roof (which is a newer style and has better resistance to wind. (We have hurricanes here.)"
What  Kind  Of  Life  Insurance  Should  I  Buy?," There are many choices of life insurance available to you. The main stream life insurance products are term life, universal life, variable life and whole life. Each one has a specific purpose. Term life insurance is meant to coverage a specific period of time. The common terms are 1-5-10-15-20-25-30-35 years. This means the rate or premium you purchase is guaranteed level for that period of time regardless of change in health, life style or occupation. Term life is commonly used for younger people starting out in life, covering a large debt, life a mortgage on a home or business debt, or covering for a young child's education. term life insurance allows for the largest face amount for the smallest premium payments. Universal life and variable life are permanent life insurance solutions that build cash value. Typically the premiums are more expensive and the face amounts are less because part of the premium is going into a cash value fund that can be invested with numerous options. The cash value can later be used for retirement, college funds, critical or chronic illness or even to purchase a large asset like a home. The universal and variable options are typically more aggressive with the cash value funds. The last option, whole life insurance, is very similar to the previous universal life insurance options. However, the cash value funds are typically a fixed percentage of growth. Whole life as it's name suggests is primarily meant to cover you for your entire life. I recommend using an experienced independent life insurance broker with numerous carriers to shop the market and find you the best product at the best price for your unique situation. Good luck."
Is  Xarelto  Covered  By  Medicare?," In most cases, Medicare does not cover medications unless you are hospitalized. To have coverage for your outpatient medical needs, you would need to purchase a Part D prescription drug plan. Each company offering this type of coverage has their own, unique formulary list of medications they consider to be covered expenses. It is always best to consult with an independent agent that represents many different companies to assist you in finding the absolute best coverage for your personal situation."
I  Was  Fired  When  Does  My  Health  Insurance  Stop?," It depends. In some cases your coverage stops the last day you were actively at work. In other cases, coverage continues to the end of the month or it may continue through the end of the following month. In most cases you will be eligible for COBRA and continue for up to 18 months."
How  Does  Split  Dollar  Life  Insurance  Work?," Split dollar arrangements can vary between a corporation and it's key executives, the grantor of an estate and it's associated irrecoverable life insurance trust or two parties that share an insurable interest. It is a sharing arrangement between two entities of death benefit and cash values of a life insurance policy."
Is  It  Ok  To  Cancel  Life  Insurance?," That is truly up to the policy owner. If you are purchasing a new policy that is providing for your coverage needs better than the current policy then it may. In most cases though depending on the amount of time that the life insurance policy has been in effect, it is not recommended to cancel a life insurance policy unless it is absolutely necessary. All licensed agent are ethically obligated to provide information that helps the proposed client make a decision that is in their best interest not that of the agent."
Who  Should  Be  Beneficiary  On  Life  Insurance?," It depends on the reason for the policy. Most people will select a spouse, parent or other family member. If the policy is for final expenses you can name the person who will be handling those affairs or even the funeral home. I do not recommend naming a child as beneficiary unless the money is earmarked for the child after he or she turns 18. Money left to the child will be held in trust until the child is of legal age."
Can  You  Be  Dropped  From  Group  Health  Insurance?," Yes, but not just because someone in the front office feels like picking on you that day. There would have to be some change in your eligibility status or what the company's policy is to trigger such an event. For example, you had your working hours reduced below 30 hours per week and this puts you below both your employer's and the Federal government's definition of what a full-time eligible employee is (30 or more hours per week defines a person as full-time for benefits eligibility under ObamaCare). This could trigger your still being an employee but no longer being eligible for their group health insurance plan. If you are responsible for paying a portion of your health insurance premium (and most employees are these days) and for some reason you are unable to pay your share of the premium (usually hard to do since these payments are generally taken out on a payroll deduction basis) then you could be terminated for non-payment of premium. Of course, if your employer decides to terminate their group health insurance plan entirely and you are dropped from coverage because a group plan no longer exists at your workplace you are obviously dropped. Though usually even small employers will try to give advance notice and employers (especially larger ones) are required to give a certain amount of advance notice of a plan change or termination. But you can't be dropped from your employer's coverage in an arbitrary manner while still an employee meeting all the eligibility requirements set forth under your employer's personnel policies and state and Federal laws. For example, you couldn't be terminated from the health insurance plan simply because your were running up a lot of expenses for your cancer treatment."
Does  Life  Insurance  Cover  Cancer?," Life insurance pays a death benefit regardless of the cause of death, including cancer. Some policies include an acceleratd death benefit that allows you to access a portion of the death proceeds if you have a terminal condition. In most cases death must be expected to occur withing 2 years of taking out the loan."
What  Is  Supplemental  Long  Term  Disability  Insurance?," A supplemental disability insurance is a personally owned long term disability policy usually purchased to supplement a group employer sponsored long term disability plan. You are basically supplementing your existing group plan with a personally owned policy. The reason this is necessary is because most group plans only cover 50- 60% of an employees income. A supplemental policy will provide additional coverage in addition to the group plan. The amount of supplemental disability coverage you can purchase is limited based on the insurance carriers guidelines. This is determined by the amount of your income your group plan covers and weather or not you pay for your group plan or your company does. As a general rule, most carriers won't let you insure more than 70% of your gross annual income."
Can  Married  Children  stay  On  Parents  Auto  Insurance?, Generally married children cannot be on the parents policy. What happens if you try to hide this material fact and you have an accident and now you need to file a claim? Usually if you are on your parents policy the parent is the primary driver and you are a child that just drives your parents car sporadically. If you or your spouse have a vehicle and you have the car financed in your name and your parents are not on the note-can you say Red Flag?
Can  You  Claim  Medicare  And  Private  Health?," You can have Medicare and private health insurance, depending on the type of other insurance you have. You can have Medicare and a cancer plan, or hospital indemnity plan, or other ancillary form of coverage. You can have Medicare and employer group health insurance, or retiree group health. Consult an adviser."
What  Is  A  Life  Insurance  Annuity?," An annuity issued by a life insurance company is an income for life. That said, there are numerous ways that income can be taken. For example, immediate annuities as their name implies start when funds are deposited with the insurance company. Deferred annuities start at some future date, say on retirement for example. Annuities can also be designed to last for one annuitant's lifetime at a fixed amount, or for a guaranteed number of years. These are just a few of the options that are available. To learn about what's best for you, speak to an independent agent familiar with many carriers and their choices."
What  Can  I  Expect  To  Pay  For  Disability  Insurance?," Disability premium pricing depends on your medical information, behaviors and your compensation. Medical information is collected such as gender, age, smoking status, health history, current medical condition, etc. Behaviors like dangerous recreational activities, hazardous vocations and motor vehicle violations. And how much of your compensation do you want to coverage within the limits of disability insurance? The generally rule of thumb for a nonsmoking healthy person covering 60% of their compensation can be 3 to 5% of the compensation coverage."
What  Is  Mutual  Whole  Life  Insurance?," A mutual life insurance company is owned by their policy holders who select a board of directors, generally by a proxy vote to operate the company on their behalf. Every year the board of directors generally declares a dividend which in turn is distributed pro rata to their policy holders."
What  Is  A  Pension  Plan  Sponsor?," As an example, under ERISA (Employees Retirement Income Security Account) of 1974, employers can sponsored defined benefit and/or contributions. They usually outsource the money management to a third parties. Some employer sponsors also match some portion of the employee's annual contribution. They're also responsible for the compliance under qualified plan regulations."
What  States  Have  State  Disability  Insurance?," The states that either mandate or carry state disability insurance are New York, Rhode Island, California, New Jersey, Hawaii, and the commonwealth of Puerto Rico. Of these, only California directly offers purchase of disability insurance from the state. An SDI tax that is charged to employees is what funds it."
What  Is  Covered  By  Long  Term  Disability  Insurance?," The short answer to what is covered by long term disability insurance is a percentage of your income. This benefit money can be used for anything you choose. Typically it is used to cover your daily living expenses while out of work, but can be used for items not covered by your health insurance such as a wheel chair ramp."
Can  You  Switch  Home  Insurance?, Great Question. It is normal to switch your home insurance if you can get a better rate and coverage from another insurance company. You must inform your mortgage if you have a mortgage on your property. Make sure your new policy will cover the important things to you in your home.
Who  To  Buy  Long  Term  Care  Insurance  From?," It is a good idea to buy Long Term Care Insurance from a broker that carries multiple companies, or an agency that uses an LTCI broker (like ours does). That way you can be sure you are getting the most competitive rate, and will have the expertise of an agent that knows what you will qualify for. They can also guide you to the most important features, so that you can get the ones you need but not overspend for options that do not add much value."
Does  Medicare  Cover  Zostavax?," Zostavax is the shingles prevention vaccine. Medicare Part B does not cover the Zostavax vaccine, but all Medicare Part D plans to cover this vaccine. The amount you have to pay depends on your plan. It is usually cheaper to go to a pharmacy to have the injection that to have the injection at a doctor's office."
Is  Aflac  Cancer  Insurance  Worth  It?," It does not matter if it is AFLAC or any other company, in my opinion Cancer insurance is a good buy. Even if a person has health insurance, the cost of Cancer can devastate a persons financial well being. With deductibles, copay's, travel, loss of income, and cost of alternative treatments, Cancer Insurance can make a difference between getting better care or going bankrupt."
Can  You  Switch  Car  Insurance  Mid  Policy?," Insurance policies can be cancelled. Many companies charge you for the number of days that you were covered. Some use another system that penalizes you a bit for cancelling before the end of the term. All you need to do is notify the company or your agent. All coverage ceases. This should not be done unless you no longer have the vehicle, or you are immediately placing insurance coverage with another company."
My  Claim  Was  Denied  Due  To  My  Criminal  Record.  Is  That  Right?," You are not required to accept the decision of the claims adjuster. The company does not have to pay if fraud is involved. Normally, this would go beyond suspicion or implication. Many companies have separate units to investigate fraud. These companies will often refer their files to criminal prosecutors."
Does  Life  Insurance  Go  On  Your  W2?," According to www.irs.gov, $50,000 or less of group-term life insurance that is carried directly or indirectly by the employer (meaning the employer pays for some or all of the life insurance for employees OR arranges for the premiums paid by at least one employee to subsidize the premium for at least one other employee), does not have any tax consequences. Life insurance coverage over $50,000 that is carried directly or indirectly by the employer, will include on the W2 the amount of the premiums that is taxable to the employee. A policy that is not carried directly or indirectly by the employer has no tax consequences to the employee."
Can  Nursing  Home  Take  Life  Insurance?," If you are going through a Medicaid spend down, the nursing home can take the cash value in your life insurance policy down to an amount that will leave you with the allowable amount of assets. You have the right to purchase a final expense policy or a burial policy, so it may be possible that your life insurance policy can be designated as this permitted final expense policy."
When  Are  Life  Insurance  Proceeds  Taxed?," In most cases, life insurance proceeds, the death benefit, are received income tax free by the beneficiary in most cases. This is a key feature of life insurance. Common exceptions include business-owned life insurance issued, or materially modified, after August 17, 2006 which may be taxable unless specific steps are taken during time of application and annually thereafter to meet conditions which allow the proceeds to be income tax-free. Another exception is a tax trap where life insurance contracts with three parties involved may also have unexpected taxable implications."
Is  Accidental  Life  Insurance  Worth  It?," Accidental death and dismemberment (AD&D) and accidental death benefit (ADB), either as a stand alone policy or as a rider on a life insurance policy, is inexpensive but I question its value. In some instances, it may make sense to the buyer. I don't follow industry sales data at this granular a level but I can safely say that it is neither offered nor sold as much as it was in the past when our economy was more industrial and agrarian than service oriented the way it is today."
Does  Health  Insurance  Cover  A  Tummy  Tuck?, A tummy tuck will be covered under your health insurance plan as long as it is considered (and coded) as medically necessary by your attending physician. Often times this is considered an elective procedure and won't be covered. It's vital to contact your carrier prior to the procedure to find out how (if at all) they will cover the surgery. The best place to start is to call the benefits verification or pre-certification phone number on the back of your insurance cards.
Does  Health  Insurance  Typically  Cover  Otoplasty?," Health insurance may cover otoplasty, although in most cases it does not. If it is considered cosmetic (and usually it is), it may not be paid or covered under a typical policy. However, all plans are different and you should always check with your carrier and inquire about benefits. If it is not for cosmetic reasons, that will help your chances."
Is  Life  Insurance  Part  Of  An  Estate  After  Death?," The are many varying circumstances for lifeinsuranceproceeds. Life insurance is paid directly to the benefactresses of the life insurance policy. Generally most married couples use the marital deduction act to pass the proceeds and all other assets to the surviving spouse. If the proceeds remain with the surviving spouse, they are subject to federal and state estate taxation if the proceeds and all other assets exceed the federal unified credit and the state exemptions.If that possibility exists, then the policy or policies should be owned day one by an Irrecoverable Life Insurance Trust to avoid inclusion in the estate."
When  Do  You  Get  Long  Term  Care  Insurance?," The time to get DI is different for everyone depending on your occupation and health. The best answer is ... as soon as possible. DI is cheaper the younger you are, plus you never know if you might become sick or injured. If you're worried that you might make more money in the future, you can add a rider on your policy that will make you eligible for more coverage at a later date, or you can simply try to buy more DI when the time comes (assuming you don't have any serious medical issues when that time does come)."
How  Do  I  Know  What  Health  Insurance  I  Have?," Your policy provides your health plan information - it'll tell you the carrier name, your policy number, plan details including premiums, copayments, coinsurance, deductible, maximum out-of-pocket expense. If you're unsure of what you have exactly, you can always contact your health insurance agent to get more information. If you're looking for new coverage, I always recommend consulting with an experienced broker to make sure that what you have provides good coverage and meets your needs and budget. Experienced brokers will have an in-depth knowledge of products from multiple carriers, can review a wide range of options with you, and help you determine which program will best serve your needs. Please let me know if I can be of further assistance. Thanks very much."
What  Is  The  Average  Salary  Of  A  Life  Insurance  Agent?," That's a great question! An insurance agent most often works off of a payment that is made to them when they sell a policy or product for the company - called a commission. These commissions can be fairly sizable, or very small, depending upon the sale. Therefore, in most cases, the earnings of the insurance agent depend entirely upon their ability to sell, and the product commission that is paid upon the sale. I believe the vast majority of agents will tailor the right product to the needs of the client, but there will unfortunately always be a few that are more interested in commission than client. You are always wise to have an idea of what it is that you want, and if you feel pressured, to ask for time to think it over. Follow your instincts. If you were considering a career as an agent, be aware that the start up period can be really lean until you've gotten your client base built, and you may need to have another source of income, especially if you were accustomed to a steady paycheck. Once you get rolling, if you are motivated, honest, and good with your clients, you can make a very comfortable living. Anything I can do to help, I'm happy to - feel free to contact me. Thanks for asking!"
Who  Invented  Critical  Illness  Insurance?," Critical Illness Insurance covers specified major illnesses. Typically, it pays a lump sum (sometimes different) payment to the insured. The first Critical Illness policy was issued in 1983 in South Africa. They have grown in popularity since that time. A full-time broker (not a part-timer, a media person or someone not fully-licensed) will be your best resource for quotes and information."
Does  Great  Clips  Offer  Health  Insurance?," Since most of their locations are franchised, it would depend on the franchise owner. Typically, if coverage is offered, it may not be paid in full by the owner. But most importantly, can you get a good haircut at Great Clips? It's just my opinion, but my answer would be Yes!"
Is  Krystexxa  Covered  By  Medicare?," Krystexxa is a medication used to treat gout and can be effective when other treatments have not produced the desired results. FDA approval for Krystexxa was granted in 2010. In 2011 Medicare assigned a treatment code to Krystexxa. Krystexxa is infusion therapy, covered under Medicare Part B. Due to the cost ($60,000 per year) there may be limits placed on how many treatments will be approved by Medicare."
What  Is  The  Right  Amount  Of  Homeowners  Insurance?," Talk tot your insurance professional and ask for a current Reconstruction Analysis for your home. Be sure to detail any improvements or renovations that you may have made so that these can be properly factored into the calculation. The result of this analysis, if completed properly, will be an accurate measure of what it would cost to reconstruct your home as it is today, should it be severely damaged or lost due to a covered peril. Once this figure is determined, be sure to ask if the policy includes a form or replacement Guarantee to make sure that moving forward you will remain properly covered."
How  Much  Is  Car  Insurance  For  A  17  Year  Old  Female  In  California?," In California the sex of the driver does not play a role in the price of car insurance. The year make and model of the car are important, as is the annual mileage of the vehicle. The driving record of every driver in the household is very important and the years of experience as a driver are also very important. These factors illustrate that the rating is complex and you should meet with a trusted insurance agent to guide you through the process."
Does  Medicare  Cover  Xanax?," Xanax is a prescription drug used most often to treat anxiety. Some Medicare Part D will cover at least a portion of the cost of Xanax. In evaluating prescription drug plans, including those coupled with a Medicare Advantage plan, make sure you run all your medications through the Medicare drug formulary finder."
How  Much  Does  Life  Insurance  Usually  Cost?," There are so many factors in pricing your lifeinsurance, it's impossible to estimate the cost. How much do you need? How long do you need it? What gender are you? Are you smoker? Are you healthy? Is your family health historygood? Do you have dangerous recreational activities? Is your motor vehicle record clean? Do you have substance abuse problems with drugs oralcohol? Do you have a felony? Is your credit good? Just to name a few of the factors that enter into the price tag of lifeinsurance."
Should  I  Buy  Life  Insurance  When  I  Am  Young?," Life insurance is always cheapest now. The exception would be a smoker who quits, then applies a year later. Of course going without insurance for that year carries the risk of dying during that time without providing for yourfinal expenses, or thefinancial needs of loved ones. Do it now."
How  To  Choose  Medigap  Insurance?," The best way to choose a Medigap Policy is by working with a licensed independent agent who specializes in Medicare Supplement insurance. We work closely with you to make sure you understand the benefits associated with each Medigap Plan. All Medigap Plan benefits are standardized, so if you want the benefits of Plan F, it's the same exact coverage with every insurance company. The only difference is the price. An independent agent who specializes in Medicare Supplement insurance can work with you to make sure you get the benefits you desire. We shop the insurance market to find the best priced premium. This is a great option as opposed to calling or applying online to an insurance company. Often they are the companies with the higher premiums. It's always in your best interest to start off with the lowest premium for the Medigap plan you want since premiums do increase over time. Thank you for reading my response. Please let me know if I can be of further assistance."
What  Kind  Of  Health  Insurance  Is  Best?," The best type of health insurance really depends on your circumstances. For example, generally healthy individuals with additional cash on hand are often best suited by High Deductible Health Insurance Plans as they can cover the high deductible if in the rare chance they should require considerable health care. The deductible acts as a stop loss against their total risk of expense exposure. Individuals with less cash on hand, and or those with medical conditions that require more frequent trips to the doctor are generally better suited by Managed Health Care systems like Heath Maintenance Organizations or Preferred Provider Organizations with low deductibles and/or co-pays."
Does  Health  Insurance  Cover  STD  Testing?," Coverage for testing/screening for sexually transmitted diseases (STDs) has been standard practice in the group and individual health insurance marketplaces for many years. What is covered and how may have varied from state to state. Under the requirements of ObamaCare, health insurance policies compliant with that law will have to cover testing for HIV and a variety of other STDs. So, certainly, policies purchased on or after January 1, 2014 should offer rather extensive coverage for STD testing and in most cases one would expect testing/screening to be covered under the preventive care requirements of ObamaCare which means 100% coverage with no copays, deductibles or co-insurance cost sharing. Testing done for treatment purposes and monitoring after an initial diagnosis has been made are then subject to the plan's treatment coverage provisions. So, the very same test done at no charge to diagnose an STD may be subject to a copay, deductible and/or co-insurance when done in conjunction with chronic disease management/treatment."
What  Are  Immediate  Annuities?," When you look into an Annuity you have a variety of ways to fund it. You can make monthly payments, you can make a lump sum payment and you can make lump sum to start off and add to it. In an Immediate Annuity you can make a lump sum payment, annuitize it and begin to receive monthly payments. People who want to have a steady monthly payment tend to utilize this type of annuity so they can get regular payments from the insurer."
What  Does  A  Health  Insurance  Premium  Mean?," This is the term used to describe the monthly obligation you pay to have the policy. Think of it in terms of payment. Premiums will vary on a policy depending on the type of policy it is, the deductible, the co payment, whether you have dental or vision, etc. Most people keep policies longer the more affordable a monthly premium is to their budget."
What  Happens  To  People  With  Cancer  And  No  Insurance?," Since you are asking this in the critical illness section I will assume you have health insurance. Your major medical health insurance plan will pay the bulk of your medical bills but you will still be personally responsible for your out of pocket costs including copay's, deductibles, coinsurance and so forth."
When  Does  Mandated  Health  Insurance  Start?, Mandated insurance starts October 1st 2013 when Exchanges begin to operate.Insurance policies purchase on the exchange wont be effective until January 2014.Most or all Health Insurance Companies are already selling plans that meet parts of the mandate that is already in effect. Large business part of the mandate will have another to implement 2014.
What  Does  Renters  Insurance  Protect?," Renters insurance will provide protection for your personal property, personal liability, and loss of use up to the policy levels possibly subject to a policy deductible. If you have renters insurance and your rented premise is damaged by fire, smoke, or lightning (to name some of the covered perils). Remember every policy is different. Please read your policy completely to understand the coverage provided and any exclusions that there may be or contact your local agent to have them go over the policy with you."
Why  Annuities  Are  Poor  Investments?," Tax deferred annuities are insurance products with differing crediting methods for a diverse saving and/or investment strategy for a suitable purchaser who demonstrate a high tax bracket and mid to long term hold horizon. This is determined by developing a personal financial profile that includes risk assessment, a retirement date and a life expectancy report."
Does  medicare  limit  the  number  of  echocardiograms  one  can  have  in  any  given  amount  of  time?," Medicare will cover an echocardiogram if your doctor orders it for diagnostic purposes. An Echo is covered under Medicare Part B. Medicare will pay for about 80% of the costs after the Part B deductible is met ($147 in 2014) - you would be responsible for the other 20% and the Part B deductible. When you first enroll in Medicare Part B, you open your 6-month initial open enrollment period to buy a Medicare supplement plan (a.k.a. Medigap plan) with NO MEDICAL UNDERWRITING!. A Medigap plan can cover the deductibles and a portion or all of the other 20% of expenses covered by Part B and features a number of other big advantages as well. An experienced Medigap broker can help find the Medigap plan and carrier that's most suitable for you and your budget. I hope the information is helpful - please feel free to contact me for help and if you have any other questions. Thanks very much."
How  To  Determine  Term  Life  Insurance  Amount?," Many life insurance experts recommend about 6 to 8 times your annual salary for the amount of term life insurance that you may need. however, the figure will depend on your financial needs and goals. You have to factor in that mortgage, education expenses for children...basically whatever your family will need to survive and thrive when you're gone. Of course, since term life insurance is for a specific period of time, you will need to calculate how long you need this certain amount of money as well."
Does  Health  Insurance  Cover  Glaucoma?, Glaucoma is a serious illness that can lead to permanent blindness if not treated. Glaucoma is easily treated in most patients and can be controlled with prescription eye drops. In some cases glaucoma cannot be successfully treated with eye drops and surgery is required. Either conventional blade surgery or laser surgery may be needed to treat the condition. Most major medical health insurance plans will cover glaucoma treatment.
What  Does  Disability  Insurance  Protect?," Disability Insurance protects your paycheck. Only people who draw an income can purchase Disability Insurance, and the benefit you can get is based on your income. If you were injured and unable to go to work, or got an illness that caused you to be off of work, or had complications in childbirth that kept you from going back to work as planned, Disability Insurance will pay a large % of your paycheck to you in cash each week. You can use this money just as you would have used the paycheck you earned through your job. So in essence, DI also protects your family, your home, and your lifestyle."
Should  Car  Insurance  Increase  Every  Year?," If the cost of auto repairs hasnt increased and damages awarded in lawsuits hasnt increased, auto insurance probably shouldnt increase. Your state insurance commissioner keeps a close eye on insurance cost in your states. He does this for two reasons. The first is to make sure that the public isnt being charged too much and the second is to make sure that the insurance companies are taking in sufficient money to honor all of the promises that they have made. The real cost of automobile insurance is determined when you have a claim. If the policy limit is exceeded and angry people are suing you, you paid too much for your insurance. If your policy had high limits and took care of everything, then you bought cheap insurance. Having to settle a claim out of your own pocket is the most expensive form of insurance that you can purchase. The reason that insurance premiums increase is that the company pays out more than it can afford to pay out. It is a simple balance sheet calculation. When the company finds that they are paying out more in claims than they are receiving in premiums they file with the state insurance commissioner to review and adjust rates in your state. Several things cause the claims experience of a company to increase. It could be that the frequency of claims increases. This could be the result of reduced safety enforcement, poorer road conditions or a variety of other causes. It could be that the severity of claims has increased. This would be the result of an increasing number of accidents turning into lawsuits. It also could be caused by juries making increasingly high awards to those injured in accidents. It also could be the result of increased medical costs in your area. Another factor could be the cost of auto repairs. Materials and parts tend to become more expensive over time and this could affect the claims experience of a company. It is important to note that most companies in the state will feel similar pressure at the same time as those factors affect all the companies. There are moral factors that also come to affect the premiums of auto insurance. When drivers report fewer annual miles than they actually drive, that increases their exposure without increasing the premium for their policy. If people allow other drivers to operate their vehicles without adequate supervision of screening risky drivers could be populating the streets. Even though your state requires that vehicles be insured we all know that some are not and that expense has to be shared somewhere. A frequent abuse is the pizza delivery man who is driving the family sedan. His insurance policy never knew he was doing that and has a risk that hasnt been properly evaluated. There are far more lurid cases but my all-time favorite is the family sedan that has steel tanks welded underneath the body to carry illegal liquor. All these moral issues also affect the premium."
Which  Is  Better  Medicare  Or  Medicare  Advantage?," Original Medicare, with or without a supplement plan, allows you to use any doctor, lab or hospital anywhere in the U.S. that accepts Medicare assignment. Most Medicare Advantage plans have limited network that require you to use their participating facilities or else you pay a significant penalty for out of network benefits."
